Timestamp,Library,OptimizationMode,QueueType,Implementation,ContentionLevel,Producers,Consumers,BatchSize,TotalItems,DurationSec,OpsPerSec,GCBytes,GCEfficiency,ScalingFactor,LatMin,LatP25,LatP50,LatP90,LatP99,LatP999,LatMax
2025-11-28T15:45:35.795086-06:00,Lock-Based,Single-Threaded,Balanced,Mutex-Protected-List,Medium,4,4,N/A,1000000,0.560,1785714.30,16343248,62.66,0.299,,,,,,,
2025-11-28T15:45:36.925660-06:00,oconnore/queues,Single-Threaded,Balanced,External-Queue,Medium,4,4,N/A,1000000,1.110,900901.70,10260928,99.80,0.106,,,,,,,
2025-11-28T15:45:37.872242-06:00,Lock-Based,Single-Threaded,Balanced,Mutex-Protected-List,High,8,8,N/A,1000000,0.950,1052631.60,16802608,60.94,0.088,,,,,,,
2025-11-28T15:45:39.977923-06:00,oconnore/queues,Single-Threaded,Balanced,External-Queue,High,8,8,N/A,1000000,2.100,476190.70,10715360,95.56,0.028,,,,,,,
2025-11-28T15:45:40.840636-06:00,Lock-Based,Single-Threaded,Balanced,Mutex-Protected-List,Very-High,16,16,N/A,1000000,0.860,1162790.80,17129568,59.78,0.049,,,,,,,
2025-11-28T15:45:43.250409-06:00,oconnore/queues,Single-Threaded,Balanced,External-Queue,Very-High,16,16,N/A,1000000,2.400,416666.66,11681984,87.66,0.012,,,,,,,
2025-11-28T15:45:44.026984-06:00,Lock-Based,Single-Threaded,Balanced,Mutex-Protected-List,Very-High,32,32,N/A,1000000,0.780,1282052.90,18930688,54.09,0.027,,,,,,,
2025-11-28T15:45:46.398777-06:00,oconnore/queues,Single-Threaded,Balanced,External-Queue,Very-High,32,32,N/A,1000000,2.370,421940.94,12696784,80.65,0.006,,,,,,,
2025-11-28T15:45:47.252997-06:00,Lock-Based,Single-Threaded,Balanced,Mutex-Protected-List,Very-High,64,64,N/A,1000000,0.850,1176470.60,21124928,48.47,0.012,,,,,,,
2025-11-28T15:45:49.560517-06:00,oconnore/queues,Single-Threaded,Balanced,External-Queue,Very-High,64,64,N/A,1000000,2.300,434782.60,10500816,97.52,0.003,,,,,,,
